,Company,TypeName,Ram,Gpu,OpSys,Weight,Price,TouchScreen,IPS,PPI,CPU_,SSD,HDD
0,Apple,Ultrabook,8,Intel,macOS,1.37,71378.6832,0,1,226.98300468106115,Intel Core i5,128,0
1,Apple,Ultrabook,8,Intel,macOS,1.34,47895.5232,0,0,127.67794013309688,Intel Core i5,0,0
2,HP,Notebook,8,Intel,No,1.86,30636.0,0,0,141.21199808219862,Intel Core i5,256,0
3,Apple,Ultrabook,16,AMD,macOS,1.83,135195.33599999998,0,1,220.53462386625827,Intel Core i7,512,0
4,Apple,Ultrabook,8,Intel,macOS,1.37,96095.808,0,1,226.98300468106115,Intel Core i5,256,0
5,Acer,Notebook,4,AMD,Windows,2.1,21312.0,0,0,100.45466986113651,AMD processor,0,500
6,Apple,Ultrabook,16,Intel,Mac,2.04,114017.6016,0,1,220.53462386625827,Intel Core i7,0,0
7,Apple,Ultrabook,8,Intel,macOS,1.34,61735.536,0,0,127.67794013309688,Intel Core i5,0,0
8,Asus,Ultrabook,16,Nvidia,Windows,1.3,79653.59999999999,0,0,157.3505121487356,Intel Core i7,512,0
9,Acer,Ultrabook,8,Intel,Windows,1.6,41025.6,0,1,157.3505121487356,Intel Core i5,256,0
10,HP,Notebook,4,Intel,No,1.86,20986.992,0,0,100.45466986113651,Intel Core i5,0,500
11,HP,Notebook,4,Intel,No,1.86,18381.0672,0,0,141.21199808219862,Intel Core i3,0,500
12,Apple,Ultrabook,16,AMD,macOS,1.83,130001.6016,0,1,220.53462386625827,Intel Core i7,256,0
13,Dell,Notebook,4,AMD,Windows,2.2,26581.392,0,0,141.21199808219862,Intel Core i3,256,0
14,Apple,Ultrabook,8,Intel,macOS,0.92,67260.672,0,1,226.41554716935852,Intel Processor,256,0
15,Apple,Ultrabook,8,Intel,macOS,1.37,80908.344,0,1,226.98300468106115,Intel Core i5,256,0
16,Dell,Notebook,8,AMD,Windows,2.2,39693.6,0,0,141.21199808219862,Intel Core i7,256,0
17,Apple,Ultrabook,16,AMD,macOS,1.83,152274.24,0,1,220.53462386625827,Intel Core i7,512,0
18,Lenovo,Notebook,8,Nvidia,No,2.2,26586.72,0,0,141.21199808219862,Intel Core i3,0,1000
19,Dell,Ultrabook,8,Intel,Windows,1.22,52161.12,1,1,165.6321180513006,Intel Core i5,128,0
20,Asus,Netbook,2,Intel,Windows,0.98,10224.432,0,0,135.0942111925629,Intel Processor,0,0
21,Lenovo,Gaming,8,Nvidia,Windows,2.5,53226.72,0,1,141.21199808219862,Intel Core i5,128,1000
22,HP,Notebook,4,AMD,No,1.86,13746.24,0,0,100.45466986113651,AMD processor,0,500
23,Dell,2 in 1 Convertible,8,Intel,Windows,1.62,43636.32,1,0,165.6321180513006,Intel Core i5,256,0
24,HP,Ultrabook,8,Intel,Windows,1.91,35111.52,0,0,141.21199808219862,Intel Core i7,256,0
25,Dell,Notebook,4,Intel,Windows,2.3,22305.1392,0,0,100.45466986113651,Intel Core i3,0,1000
26,Apple,Ultrabook,8,Intel,Mac,1.35,58554.72,0,0,127.67794013309688,Intel Core i5,0,0
27,Dell,Notebook,8,AMD,Windows,2.2,42624.0,0,0,141.21199808219862,Intel Core i5,256,0
28,Dell,Ultrabook,8,Intel,Windows,1.88,69157.44,0,0,141.21199808219862,Intel Core i7,256,0
29,HP,Notebook,8,Nvidia,Windows,2.5,47738.88,0,0,127.33567457123111,Intel Core i5,0,1000
30,Chuwi,Notebook,4,Intel,Windows,1.89,13053.0672,0,0,141.21199808219862,Intel Processor,0,0
31,Asus,Notebook,2,AMD,Windows,1.65,10602.72,0,0,111.93520355955211,AMD processor,0,0
